
irr,tamb,tmodule,wind,pack
845,40.84,54.65,1.2,42.13
845,41.25,55.06,1.2,42.16
850,40.68,54.41,1.1,42.49
858,39.86,53.84,1.1,42.72
855,40.84,54.41,1.3,42.56
858,39.29,52.05,1.5,42.63
858,39.05,51.81,1.6,42.33
845,39.29,52.86,1.7,42.22
850,39.05,53.03,1.7,41.96
843,38.65,52.21,1.8,42.16
853,38.08,52.21,1.9,42.09
853,37.91,52.21,2.0,42.69
862,36.86,50.26,2.1,42.8
862,36.13,49.05,2.4,42.15
858,35.72,49.29,2.4,42.45
855,36.29,50.43,2.4,42.04
850,36.29,50.67,2.4,42.29
860,35.72,50.26,2.5,42.3
862,36.53,50.26,2.6,42.66
865,36.13,49.7,2.6,43.65
882,37.26,51.65,2.5,43.36
867,36.53,50.67,2.3,43.19
870,36.53,50.67,2.3,43.17
877,35.07,47.91,2.4,43.63
884,34.5,47.91,2.4,43.6
879,34.75,47.91,2.5,43.19
877,34.75,48.64,2.5,42.89
872,34.34,48.07,2.5,42.95
870,33.93,46.53,2.5,43.34
870,33.93,46.53,2.7,43.16
875,33.93,47.5,2.7,43.03
872,35.48,49.7,2.5,43.01
870,35.72,50.43,2.5,43.3
882,35.72,50.83,2.2,43.75
898,37.26,52.05,2.1,44.41
898,37.91,52.62,2.1,44.29
892,38.65,53.59,1.9,43.92
884,37.91,52.86,1.8,43.76
889,37.51,51.65,1.8,44.1
892,36.7,50.1,1.8,43.87
889,36.53,50.26,1.9,44.47
900,37.91,52.21,1.9,44.64
910,37.67,53.43,1.9,44.99
912,37.67,53.03,1.9,44.65
902,36.7,50.43,2.0,44.36
902,36.53,48.88,2.2,44.46
912,36.13,48.07,2.3,44.95
905,35.72,47.66,2.4,44.53
902,35.31,47.91,2.4,44.67
912,35.31,49.05,2.4,45.02
917,36.7,51.81,2.4,44.89
915,36.86,52.62,2.4,44.25
910,36.53,52.05,2.4,44.2
905,37.51,53.03,2.2,44.22
907,37.51,53.03,2.1,44.49
912,37.26,53.43,2.0,44.71
910,37.51,53.43,1.9,44.6
915,38.65,55.06,1.7,44.58
917,38.65,54.25,1.7,45.04
924,39.46,54.41,1.7,45.11
922,38.24,52.62,2.0,45.06
922,38.65,53.43,2.0,45.18
917,39.7,54.25,2.0,45.25
920,39.7,55.22,2.0,44.9
915,40.27,55.63,1.9,44.69
910,41.25,56.68,1.8,44.52
905,41.25,56.93,1.8,44.8
907,42.22,57.66,1.7,45.38
922,42.87,57.25,1.7,45.48
920,43.03,57.25,1.7,45.34
910,43.28,56.93,1.6,44.79
905,43.28,57.5,1.7,44.64
902,43.6,57.5,1.7,44.46
902,43.84,57.25,1.8,44.61
905,43.84,57.25,2.0,44.95
917,44.25,57.25,2.1,45.11
920,44.74,57.5,2.2,45.22
922,45.06,57.66,2.2,45.15
912,44.9,57.9,2.0,45.2
920,45.71,58.31,1.8,45.21
915,46.12,58.31,1.8,45.15
920,45.31,57.9,1.9,44.94
915,45.31,57.66,1.9,45.16
917,44.9,57.66,1.8,45.25
922,45.31,58.31,1.6,45.34
920,45.47,58.71,1.5,45.2
915,45.88,58.88,1.4,45.17
915,46.69,59.28,1.5,44.99
915,46.85,59.28,1.5,45.17
917,47.09,58.88,1.6,45.11
920,47.09,59.04,1.6,45.26
922,47.91,58.88,1.6,45.46
924,47.26,58.71,1.6,45.46
927,47.26,59.28,1.6,45.47
929,48.07,59.85,1.6,45.64
929,48.31,59.85,1.7,45.49
922,48.07,59.85,1.8,45.28
920,48.88,60.09,1.7,45.08
915,49.05,60.09,1.7,45.01
915,47.5,59.69,1.5,44.92
912,48.48,59.85,1.4,44.94
922,48.64,60.09,1.3,45.16
917,48.88,60.26,1.3,45.11
927,48.64,60.09,1.5,45.69
932,48.88,60.09,1.6,45.57
927,49.05,60.09,1.4,45.42
922,48.88,60.09,1.4,45.36
927,47.91,59.44,1.4,45.5
920,48.64,59.69,1.4,45.35
920,48.31,59.44,1.5,45.15
922,48.31,59.69,1.7,45.51
922,47.91,59.44,1.7,45.61
920,47.91,59.85,1.4,45.24
927,46.85,58.71,1.4,45.64
929,47.66,59.28,1.4,45.46
927,47.91,59.28,1.5,45.7
929,48.07,59.44,1.6,45.75
934,47.66,59.28,1.7,45.94
932,47.5,59.28,1.7,45.95
932,47.26,59.69,1.5,45.83
927,47.26,60.09,1.6,45.56
924,47.91,60.09,1.6,45.3
924,48.31,60.26,1.7,44.82
915,48.88,60.26,1.6,44.56
912,49.05,60.42,1.5,44.05
907,48.88,60.66,1.3,44.55
905,47.26,58.88,1.3,44.65
912,46.53,58.47,1.2,44.66
915,46.85,59.04,1.4,44.65
912,47.66,59.44,1.3,44.88
915,48.07,59.85,1.3,44.62
917,46.85,59.04,1.4,44.88
920,46.28,57.9,1.5,44.89
915,43.6,55.38,1.8,44.61
915,44.5,56.28,2.0,44.41
912,45.06,57.66,2.0,44.4
910,45.88,57.9,1.9,44.64
922,45.88,58.47,1.8,44.98
920,45.31,57.9,2.0,44.8
922,45.71,58.31,2.0,44.98
924,46.12,58.71,1.9,45.12
924,45.06,57.9,1.9,45.16
927,45.47,58.06,1.8,44.97
924,45.06,58.06,1.7,45.2
922,44.01,57.25,1.7,45.09
920,43.28,56.68,1.9,45.19
917,43.28,56.68,2.1,44.86
905,43.6,57.25,2.1,44.49
900,43.6,57.25,2.2,44.19
900,44.01,57.5,2.2,44.06
892,43.84,57.5,2.0,43.74
892,44.01,57.9,1.9,43.92
892,44.25,57.9,2.0,43.99
889,43.6,56.93,2.0,43.52
884,43.28,56.68,1.9,43.16
884,44.25,57.09,1.8,43.32
872,44.74,57.5,1.7,42.89
884,44.5,57.66,1.7,43.23
887,45.31,57.66,1.9,42.96
877,45.47,57.66,1.9,42.86
877,45.71,57.66,2.1,43.22
862,45.31,57.66,2.0,42.43
867,44.9,57.25,2.1,42.67
860,45.71,57.5,2.0,42.28
853,44.74,57.25,2.0,41.64
855,45.06,57.5,2.0,41.93
838,45.06,57.5,2.0,41.44
858,45.06,57.66,2.0,42.53
867,45.71,58.31,1.9,42.73
862,45.71,57.66,1.8,42.35
