
irr,tamb,tmodule,wind,pack
915,47.91,62.86,1.9,42.9
910,48.48,63.02,1.9,42.74
920,48.07,63.02,1.8,42.89
922,48.07,63.02,1.8,43.22
927,48.48,63.43,1.6,43.66
927,48.64,63.83,1.5,43.75
929,49.05,64.24,1.5,43.58
927,49.05,64.24,1.4,43.39
927,48.07,63.67,1.3,43.43
927,47.26,63.26,1.3,43.36
932,46.85,63.02,1.6,43.49
929,46.69,63.43,1.6,43.35
934,46.53,63.02,1.7,43.66
934,47.09,62.61,1.9,43.6
934,46.85,62.86,1.9,43.48
937,46.28,62.05,2.1,43.66
932,47.26,62.61,2.2,43.67
929,47.09,62.45,2.1,43.57
939,46.28,62.05,2.2,43.74
944,46.12,62.21,2.0,44.09
949,45.71,61.48,2.0,43.94
951,46.12,61.88,2.2,44.29
951,45.88,61.88,2.2,44.3
944,46.12,62.45,2.1,43.94
942,46.53,62.45,2.1,43.86
942,46.28,62.45,2.0,43.87
934,46.69,62.61,2.0,43.44
942,46.85,62.61,2.0,43.63
946,47.09,63.02,2.0,43.78
949,46.85,62.21,2.1,44.16
944,46.28,61.64,2.2,43.68
944,46.28,61.64,2.2,43.92
946,46.12,61.48,2.3,44.07
954,45.71,61.64,2.3,44.42
951,46.28,62.05,2.4,44.36
944,45.71,61.88,2.5,44.22
944,46.12,61.88,2.4,43.85
934,46.28,62.05,2.4,43.64
934,46.12,62.05,2.2,43.62
934,45.71,61.88,2.2,43.59
944,45.47,62.05,2.2,43.79
939,45.71,62.05,2.2,43.66
934,45.71,62.45,2.1,43.65
942,45.71,62.61,2.1,43.91
934,46.12,63.02,1.9,43.76
944,46.53,62.86,1.9,43.9
954,45.88,63.02,1.9,44.58
956,45.47,62.86,1.9,44.39
951,46.53,63.43,1.8,44.33
934,46.85,64.0,1.8,43.71
927,46.69,63.83,1.8,43.07
932,47.09,64.4,1.7,43.04
939,47.5,64.0,1.8,43.42
946,47.91,63.83,1.9,43.65
942,48.31,64.4,1.8,43.59
954,48.07,64.65,1.7,44.18
946,47.91,64.4,1.7,44.13
946,47.91,64.24,1.7,43.99
946,47.91,63.83,1.8,44.09
939,47.66,63.67,1.8,43.81
944,47.09,63.26,2.0,43.76
942,46.69,63.02,2.0,43.53
934,47.26,64.0,1.9,43.48
939,47.5,64.4,1.9,43.47
937,47.5,65.05,1.9,43.46
944,47.5,65.05,1.8,43.78
946,47.26,64.4,1.8,43.78
942,47.26,64.24,1.8,43.66
942,47.09,63.83,1.8,43.46
937,46.28,63.83,1.8,43.35
932,45.88,63.43,1.8,43.33
937,46.28,63.26,1.9,43.29
932,46.53,63.43,1.9,43.35
937,46.53,63.67,2.1,43.37
937,46.85,63.83,2.3,43.38
924,46.69,63.43,2.2,42.85
927,46.69,63.83,2.2,42.95
920,46.53,64.0,2.0,42.67
927,47.66,64.65,1.9,42.88
927,48.07,65.05,1.9,42.79
915,48.07,65.21,1.7,42.48
924,48.31,64.65,1.7,42.75
927,48.31,64.4,1.7,42.77
924,48.88,65.05,1.7,42.86
922,49.7,65.62,1.6,42.85
922,50.26,65.62,1.6,42.53
917,51.24,66.03,1.6,42.52
920,51.65,66.43,1.6,42.8
922,52.05,66.59,1.6,42.92
920,52.21,66.59,1.5,42.68
915,51.48,66.19,1.4,42.4
917,51.81,66.19,1.3,42.54
910,51.08,65.78,1.3,42.29
912,50.26,65.78,1.4,42.24
915,50.1,65.46,1.4,42.07
912,49.86,65.05,1.7,42.23
915,49.86,65.62,1.7,42.36
920,49.7,65.46,1.7,42.56
917,49.45,65.78,1.8,42.52
912,50.43,65.78,1.8,42.32
910,50.67,65.78,1.8,42.07
910,50.43,65.78,1.7,41.8
910,49.86,65.46,1.7,42.19
907,50.26,65.46,1.8,42.01
902,49.45,64.65,1.8,42.09
905,49.7,64.81,1.8,41.77
898,49.7,64.65,1.9,41.77
898,49.86,65.05,1.9,41.81
895,50.1,65.21,2.1,41.59
898,50.1,64.65,2.2,41.23
902,49.05,63.67,2.3,42.04
905,48.88,63.26,2.5,42.2
907,48.48,62.21,2.6,42.44
892,48.48,63.02,2.6,42.06
898,48.64,63.02,2.6,41.89
892,48.88,63.02,2.7,41.83
884,48.64,63.02,2.7,41.55
887,48.07,62.61,2.8,41.85
882,49.05,62.86,2.9,41.69
884,48.64,62.86,2.8,41.62
879,49.05,63.02,2.6,41.38
877,48.48,62.86,2.5,41.33
872,48.64,63.02,2.4,40.96
867,48.31,63.43,2.2,40.81
865,48.64,63.02,2.0,40.71
862,48.48,63.02,2.0,40.73
867,48.64,62.45,1.9,40.79
865,49.29,63.02,1.7,40.66
865,49.05,62.86,1.7,40.7
865,49.05,62.45,1.8,40.72
865,48.48,61.64,1.8,40.77
867,48.64,61.48,2.0,40.9
862,47.91,61.48,2.3,40.88
858,47.26,60.83,2.4,40.64
853,47.26,60.83,2.4,40.29
848,47.5,61.07,2.3,40.18
845,47.26,60.83,2.3,40.12
840,47.5,61.07,2.7,39.86
836,46.69,60.09,2.7,39.77
831,46.69,60.09,2.6,39.53
831,46.12,59.44,2.6,39.45
826,45.88,58.88,2.6,39.42
823,45.47,58.88,2.7,39.33
823,45.47,59.04,2.6,39.25
823,46.12,59.85,2.5,39.24
818,46.12,60.09,2.5,39.27
821,46.28,60.66,2.2,39.26
814,46.28,60.26,2.1,39.07
811,46.53,60.42,2.1,38.97
809,45.88,60.09,2.0,38.64
801,44.9,58.88,2.1,38.53
806,44.74,59.04,2.1,38.42
804,44.01,58.31,2.1,38.44
804,43.6,58.06,2.3,38.5
801,42.63,57.09,2.5,38.43
796,42.46,56.52,3.1,38.41
796,42.46,56.52,3.2,38.17
792,42.46,56.52,3.2,38.04
792,42.87,57.25,3.1,38.16
794,43.44,57.66,2.9,38.27
787,43.44,57.9,2.7,37.96
782,43.6,58.47,2.5,37.9
777,43.84,58.31,2.5,37.7
774,44.01,58.06,2.1,37.61
772,43.84,57.9,2.1,37.4
770,43.28,57.09,2.2,37.33
762,43.03,56.93,2.2,37.2
760,42.87,56.68,2.4,37.08
760,42.22,56.28,2.7,36.98
755,41.65,55.63,2.9,36.81
760,41.65,55.63,3.1,36.95
755,41.65,55.63,3.3,36.74
755,42.22,56.11,3.2,36.71
747,42.46,56.11,3.2,36.54
742,42.46,55.63,3.1,36.4
744,42.46,55.38,3.1,36.27
739,42.46,55.38,3.1,35.94
730,42.22,54.65,3.1,35.98
734,42.06,54.41,3.1,35.73
727,42.46,54.41,3.0,35.55
722,41.81,54.0,3.0,35.58
725,41.49,54.0,3.1,35.58
717,41.49,53.43,3.3,35.34
712,41.49,53.59,3.3,35.26
715,41.49,53.84,3.3,35.17
710,41.49,54.0,3.2,34.89
705,41.25,53.84,3.1,34.6
705,40.84,53.84,3.1,34.47
700,41.25,54.0,3.1,34.4
695,41.25,53.84,3.1,34.3
695,40.84,53.59,3.1,34.15
688,40.84,53.43,3.0,33.96
686,40.43,53.43,3.0,33.68
683,40.68,52.86,3.1,33.55
678,40.84,53.03,3.1,33.33
676,41.25,53.27,3.1,32.95
673,41.49,53.03,3.1,32.96
669,41.08,53.27,3.1,32.97
671,41.08,53.27,3.1,33.07
666,40.84,52.86,3.0,33.0
666,41.08,52.46,3.1,32.94
666,40.68,52.05,3.2,32.69
654,40.84,52.46,3.1,32.31
649,40.68,52.46,3.1,32.01
644,40.68,52.21,3.2,31.98
639,41.08,51.81,3.2,31.88
634,40.84,51.81,3.1,31.76
632,41.08,52.05,3.1,31.6
634,41.25,52.05,3.0,31.63
634,41.25,51.81,2.9,31.55
632,41.25,52.21,2.8,31.48
627,41.65,52.62,2.5,31.36
622,41.81,52.46,2.5,31.22
620,41.49,51.81,2.5,30.93
615,41.49,52.21,2.4,30.54
612,41.25,51.81,2.4,30.46
607,41.81,52.05,2.4,30.21
607,41.81,51.81,2.4,30.04
597,42.22,52.21,2.4,29.82
592,41.81,52.46,2.3,29.62
594,41.81,52.62,2.3,29.4
577,41.49,52.62,2.4,29.44
589,41.49,51.81,2.4,29.11
587,41.49,51.81,2.4,28.95
580,41.65,51.81,2.4,28.46
572,41.49,52.05,2.3,28.13
570,41.65,52.05,2.3,28.11
567,42.06,51.81,2.3,28.04
565,41.81,51.65,2.5,27.72
555,42.22,51.65,2.5,27.55
558,42.06,51.48,2.4,27.4
553,42.06,51.65,2.4,27.24
545,42.22,51.81,2.2,27.11
545,41.81,51.24,2.3,26.93
541,41.49,51.08,2.4,26.65
538,41.25,50.67,2.5,26.51
533,41.08,50.1,2.5,26.25
533,40.68,49.86,2.6,25.97
526,40.43,49.45,2.7,26.01
526,40.43,49.05,2.8,26.0
516,40.27,49.05,2.8,25.97
519,40.27,49.7,2.9,25.7
514,40.43,49.7,2.9,25.69
511,40.27,49.7,2.6,25.44
509,39.86,49.29,2.8,25.29
504,39.86,49.05,2.7,24.96
501,40.27,49.05,2.7,24.85
492,39.86,48.88,2.5,24.43
489,39.86,48.88,2.4,24.34
484,40.03,49.05,2.3,24.29
484,39.86,49.05,2.3,24.08
482,39.7,48.88,2.5,24.0
477,39.7,48.48,2.6,23.91
477,39.7,48.31,2.5,23.9
477,39.7,47.91,2.4,23.95
470,39.7,47.91,2.4,23.77
470,39.86,48.07,2.4,23.61
465,39.46,47.66,2.5,23.54
459,39.05,47.26,2.8,23.18
459,38.89,46.85,2.8,22.96
457,38.89,46.85,2.9,22.91
452,38.65,46.69,2.9,22.76
442,38.89,46.69,2.9,22.57
435,38.65,46.53,2.9,22.43
437,38.48,46.53,2.9,22.11
432,38.65,46.53,3.0,21.87
417,38.48,46.28,2.9,21.6
417,38.65,46.28,2.7,21.26
415,38.48,46.28,2.6,21.18
405,38.24,45.71,2.7,21.0
405,38.24,45.47,2.7,20.81
396,38.24,45.47,2.8,20.59
388,38.08,45.06,2.9,20.34
388,38.08,44.9,2.9,20.1
381,38.24,44.9,2.8,19.92
378,38.24,44.9,2.8,19.75
371,38.08,44.74,2.8,19.55
369,38.24,44.5,2.7,19.46
364,38.24,44.5,2.7,19.27
361,38.24,44.25,2.5,19.08
356,37.91,44.01,2.5,18.93
352,37.91,44.01,2.5,18.72
347,37.67,43.6,2.5,18.39
344,37.67,43.6,2.6,18.2
339,37.67,43.44,2.6,18.1
339,37.67,43.44,2.5,18.13
334,37.67,43.6,2.5,18.02
332,37.67,43.44,2.5,18.03
325,37.67,43.03,2.5,17.79
325,37.51,43.03,2.5,17.55
320,37.51,43.03,2.3,17.51
312,37.51,42.87,2.2,17.32
312,37.67,43.03,2.2,17.09
302,37.51,43.03,2.1,16.83
287,37.51,42.46,2.1,16.1
285,37.26,42.22,2.3,15.96
285,37.26,42.06,2.3,15.93
280,37.26,41.81,2.3,15.64
272,37.26,41.49,2.4,15.56
272,36.86,41.25,2.4,15.39
268,37.1,41.25,2.4,15.06
263,36.86,41.08,2.3,14.79
265,37.1,41.25,2.4,14.84
263,36.86,41.08,2.4,14.38
260,36.86,40.84,2.3,14.61
253,36.86,40.68,2.2,14.18
253,36.86,40.68,2.2,13.55
248,36.7,40.43,2.0,13.76
248,36.7,40.27,2.0,13.17
241,36.7,40.03,2.0,13.18
241,36.86,40.27,2.0,13.07
238,36.86,40.03,2.0,12.94
233,36.86,39.86,2.0,12.74
229,36.86,39.86,2.0,12.56
226,36.86,39.7,1.9,12.35
221,36.86,39.7,1.9,12.17
219,36.86,39.46,1.9,11.9
216,36.86,39.46,1.9,11.89
214,36.7,39.29,1.8,11.65
207,36.86,39.05,1.6,11.53
204,36.7,39.05,1.5,11.36
199,36.7,38.89,1.6,11.32
197,36.53,38.89,1.6,10.97
140,27.27,28.9,1.3,6.28
142,27.11,28.9,1.3,6.76
171,27.27,28.9,1.4,8.77
164,27.27,29.06,1.3,7.65
180,27.51,29.06,1.2,8.04
199,27.68,29.3,1.2,8.94
171,27.68,29.3,1.1,7.22
142,27.68,29.46,1.0,6.71
187,27.92,29.46,1.0,8.29
202,27.92,29.71,0.9,9.17
189,28.08,29.87,0.8,7.79
192,28.08,29.87,0.8,8.22
238,28.25,30.03,0.7,11.17
246,28.25,30.28,0.8,11.09
241,28.49,30.68,0.8,10.87
246,28.49,30.68,0.8,10.39
231,28.49,31.09,0.9,8.34
231,28.65,31.25,0.9,10.76
236,28.65,31.25,1.0,10.42
207,28.9,31.25,1.0,8.4
162,28.9,31.41,1.0,6.59
127,28.9,31.66,1.0,5.99
118,29.06,31.41,1.0,5.55
115,29.3,31.25,1.0,5.5
118,29.06,31.25,1.0,5.51
118,29.3,30.84,1.0,5.6
120,29.06,30.84,1.0,5.57
118,29.3,30.68,0.9,5.61
120,29.06,30.68,0.9,5.62
118,29.06,30.44,0.9,5.68
120,29.06,30.28,0.9,5.72
120,29.06,30.03,0.9,5.72
120,29.06,30.03,1.0,5.72
120,29.06,30.03,1.0,5.7
118,28.9,29.71,0.9,5.79
120,28.9,29.71,0.9,5.88
125,29.06,29.71,1.0,6.12
132,29.06,29.71,1.0,6.45
142,29.3,29.46,1.0,6.75
236,29.06,29.46,1.0,9.08
294,29.06,29.46,1.0,11.22
246,29.06,30.03,1.0,8.76
248,29.06,30.03,1.0,8.51
209,29.06,30.28,1.0,9.09
185,29.06,30.44,1.0,11.41
209,29.06,30.44,1.0,13.78
229,29.3,30.68,1.0,15.01
290,29.3,31.09,1.0,17.17
361,29.46,31.25,1.0,18.44
366,29.71,31.82,1.0,18.3
369,29.71,32.23,1.0,12.93
344,30.03,32.96,1.0,11.96
366,30.28,33.53,1.0,12.2
356,30.28,33.53,1.0,12.8
285,30.68,34.34,1.0,11.29
231,30.84,34.34,1.1,10.15
275,30.68,34.5,1.1,10.04
364,30.84,34.5,1.2,11.87
408,31.09,34.5,1.2,14.97
449,31.41,35.07,1.1,18.41
472,32.06,35.88,1.2,20.32
470,32.06,36.29,1.2,22.4
475,32.23,37.26,1.2,23.11
477,32.96,37.91,1.1,23.45
480,32.71,38.08,1.1,23.61
487,33.28,38.89,1.1,23.49
492,33.28,39.05,1.1,23.36
489,33.93,39.46,1.0,23.36
454,34.34,40.03,1.1,23.68
439,34.5,40.43,1.1,23.56
475,34.75,40.84,1.1,23.57
489,34.75,41.25,1.0,23.82
497,35.07,41.49,1.0,24.08
501,35.31,42.06,1.0,24.54
501,35.72,42.06,1.0,24.67
506,35.88,42.63,1.0,24.67
516,35.48,42.63,1.0,24.47
521,35.72,43.03,1.0,24.64
533,35.72,43.28,1.0,24.87
533,35.72,43.28,1.0,25.57
550,35.48,43.6,1.2,25.86
558,35.48,43.84,1.3,26.09
560,35.48,43.84,1.4,26.38
567,35.31,44.25,1.6,26.64
567,35.48,44.5,1.6,27.12
577,36.13,45.06,1.6,27.41
585,36.13,45.31,1.6,27.78
587,36.13,45.71,1.6,27.98
582,36.29,45.88,1.6,27.99
577,36.13,46.28,1.5,27.51
577,36.13,46.28,1.5,27.27
580,36.29,46.69,1.5,27.18
585,36.7,49.05,1.4,27.33
582,36.86,50.67,1.4,27.7
599,37.1,51.81,1.5,28.37
612,36.86,52.05,1.5,28.89
620,37.1,52.05,1.5,29.38
625,37.51,51.65,1.4,29.77
634,37.67,51.81,1.4,29.98
637,37.91,52.05,1.3,29.82
639,38.08,51.81,1.2,29.92
639,38.08,51.48,1.2,29.97
639,38.24,51.48,1.2,29.85
639,38.48,51.65,1.1,30.16
644,38.65,51.48,1.1,30.46
639,39.05,51.24,1.0,30.47
642,39.29,51.65,1.0,30.19
649,39.29,51.48,1.0,30.41
651,39.7,51.81,1.0,30.81
656,39.86,52.05,0.9,30.74
669,40.43,52.21,0.9,31.25
676,40.43,52.21,0.9,31.53
681,41.08,51.81,1.2,31.76
678,40.84,51.65,1.4,31.6
664,40.84,51.08,1.6,31.21
666,40.43,51.24,1.6,30.84
659,40.68,51.81,1.7,30.41
676,41.08,52.21,1.6,31.22
693,41.49,52.46,1.6,32.59
717,41.25,52.46,1.6,33.5
727,41.65,52.86,1.5,33.86
739,42.46,53.27,1.4,34.25
737,42.63,53.59,1.4,34.03
734,42.22,53.43,1.3,33.54
732,42.87,54.0,1.4,33.51
722,43.6,54.25,1.3,33.86
727,43.84,54.41,1.3,34.8
739,44.01,54.65,1.4,35.31
747,43.6,54.25,1.4,35.34
747,43.28,53.43,1.6,35.07
732,43.44,54.0,1.6,33.24
734,43.28,54.0,1.6,32.51
747,42.63,54.0,1.6,33.73
720,42.87,54.25,1.4,34.36
710,43.03,54.65,1.4,33.28
622,43.28,55.22,1.6,25.3
592,43.6,55.06,1.6,25.21
632,43.84,54.81,1.6,29.49
681,44.5,54.81,1.6,28.15
649,44.74,55.06,1.6,29.34
755,45.06,54.65,1.7,36.24
767,45.47,54.81,1.6,37.6
779,45.31,54.81,1.6,37.47
794,45.47,55.22,1.5,37.54
789,45.47,55.63,1.5,37.69
789,45.71,56.11,1.3,37.19
787,45.31,56.11,1.3,36.45
789,45.31,56.11,1.3,36.77
796,45.71,56.93,1.2,36.62
792,45.71,56.93,1.1,36.52
789,45.47,57.09,1.0,37.78
801,45.47,57.5,1.0,37.7
811,44.74,57.66,1.1,38.28
814,45.71,58.06,1.1,38.26
811,46.53,58.47,1.1,38.18
811,46.85,58.47,1.2,38.18
814,46.12,57.9,1.2,37.42
789,46.28,58.06,1.3,35.82
774,46.12,57.9,1.4,36.98
801,45.47,57.25,1.5,38.04
809,44.9,57.25,1.7,38.09
821,44.74,57.25,1.7,38.39
828,45.06,57.09,2.0,38.76
826,45.71,57.25,2.0,38.75
826,45.47,57.25,2.1,38.93
828,45.06,56.68,2.1,39.77
843,44.9,56.68,2.3,40.37
870,44.25,56.93,2.2,40.76
875,44.25,57.09,2.2,41.2
879,44.25,57.25,2.1,41.38
879,44.25,57.9,2.1,40.89
870,44.25,58.31,2.1,40.64
772,44.5,58.47,2.0,38.15
809,44.9,58.47,2.0,37.13
747,44.25,57.66,2.0,37.29
727,44.74,58.06,1.9,34.1
814,44.74,57.9,1.8,35.16
826,45.31,57.9,1.8,37.79
875,45.06,57.9,1.8,41.89
920,45.31,58.06,1.7,42.41
917,45.47,59.04,1.8,40.97
907,45.31,59.28,1.8,41.04
855,46.12,59.85,1.6,38.46
884,46.28,59.85,1.5,39.68
912,46.53,59.44,1.6,42.1
924,46.69,59.85,1.6,40.63
872,46.53,60.09,1.6,34.69
843,46.53,59.85,1.6,43.91
902,47.09,60.42,1.6,43.94
934,47.66,60.66,1.5,44.02
956,47.91,61.23,1.5,44.43
951,48.31,61.64,1.4,44.22
959,48.48,62.05,1.4,44.14
956,48.48,62.05,1.4,43.98
949,48.64,62.21,1.5,43.8
942,48.64,62.86,1.5,43.81
922,48.88,63.02,1.4,43.48
907,48.88,63.43,1.4,41.66
910,48.88,63.26,1.5,35.72
850,48.48,63.26,1.6,42.96
887,49.05,63.43,1.6,43.31
853,48.07,62.21,1.8,38.96
536,48.07,61.88,1.8,24.51
388,47.91,61.48,1.6,18.04
374,48.48,61.07,1.6,17.22
376,48.88,60.26,1.4,16.99
371,48.64,59.04,1.3,30.77
686,48.48,58.31,1.3,47.08
993,48.88,58.31,1.2,46.63
882,48.48,58.88,0.9,46.69
976,48.48,58.88,0.9,46.72
983,48.48,60.09,0.7,46.08
978,48.07,60.26,0.7,45.64
973,48.64,61.48,0.7,44.43
949,48.88,62.05,0.8,44.29
949,48.64,62.21,0.9,43.61
946,49.45,63.02,0.9,43.8
937,49.7,63.26,0.8,43.89
944,49.7,63.67,0.9,43.95
949,49.05,63.43,1.0,43.76
946,49.05,63.67,1.0,43.58
946,48.64,63.67,1.3,43.56
944,48.64,63.83,1.3,43.46
944,49.05,64.24,1.3,43.74
949,49.05,64.4,1.4,43.5
946,48.64,64.0,1.4,43.36
937,49.05,64.4,1.5,43.11
934,49.29,65.21,1.4,43.0
937,49.7,65.46,1.4,43.18
944,49.45,65.21,1.3,43.35
942,49.7,65.46,1.3,43.27
942,49.7,65.78,1.2,43.22
932,50.1,65.78,1.1,42.98
934,50.43,66.03,1.0,42.96
934,50.83,66.43,1.0,43.02
934,51.48,66.59,1.0,42.95
929,52.05,66.59,1.1,42.83
922,52.05,66.59,1.0,42.38
922,52.62,66.59,1.0,42.37
929,53.03,66.59,0.7,43.1
939,53.59,67.0,0.8,43.14
937,53.84,67.0,1.0,43.1
942,54.0,66.84,1.1,43.25
942,54.25,67.0,1.2,43.17
937,54.0,67.0,1.3,43.07
929,54.81,67.0,1.3,43.06
927,55.06,67.0,1.4,42.86
929,55.22,67.41,1.5,42.88
932,55.38,67.41,1.6,43.21
942,55.63,67.41,1.7,43.49
949,55.06,67.57,1.6,43.65
949,55.22,67.57,1.5,43.66
944,55.22,67.41,1.5,43.57
944,54.65,67.41,1.5,43.59
946,54.0,66.84,1.5,43.63
942,54.41,67.16,1.5,43.55
942,54.0,67.0,1.5,43.29
934,53.84,66.84,1.6,43.04
934,53.84,66.84,1.5,42.92
939,54.25,67.16,1.5,43.07
937,54.41,67.57,1.5,42.86
942,54.25,67.57,1.5,43.16
942,54.65,68.3,1.1,43.32
942,55.06,68.46,1.1,43.51
949,54.65,68.46,1.0,43.48
944,54.25,67.9,1.1,43.31
939,54.25,68.06,1.0,42.79
927,55.06,68.46,0.9,42.64
927,54.81,68.3,0.8,42.05
922,55.06,68.46,0.8,42.17
946,55.22,68.71,1.1,43.24
951,54.65,68.06,1.1,43.69
946,55.79,68.46,1.2,43.21
937,55.06,67.9,1.4,43.21
939,55.22,67.9,1.3,43.61
946,55.63,68.3,1.4,43.67
944,56.28,68.87,1.4,43.49
939,56.11,68.87,1.5,43.31
934,55.79,69.28,1.4,43.18
929,55.22,69.44,1.4,42.9
922,56.68,69.68,1.4,42.54
922,56.68,69.68,1.4,42.28
920,55.79,69.68,1.1,42.22
922,55.38,69.68,1.2,42.32
920,55.63,69.84,1.1,42.28
937,57.09,69.84,1.1,42.94
932,57.5,69.84,1.1,42.87
932,57.09,69.68,1.1,42.7
927,57.25,69.68,1.2,42.6
917,56.11,69.03,1.2,42.24
922,56.93,69.28,1.2,42.19
922,56.52,69.03,1.2,42.54
922,56.28,68.87,1.2,42.71
917,56.28,69.28,1.1,42.37
924,56.11,69.68,1.1,42.82
932,53.27,68.46,1.3,42.74
934,51.81,67.16,1.3,42.88
932,51.81,67.16,1.3,42.81
939,53.03,67.41,1.5,43.14
942,53.03,67.41,1.5,43.04
924,54.0,68.06,1.7,42.75
927,53.59,68.06,1.8,42.57
922,54.25,67.9,1.9,42.9
932,53.59,67.41,2.0,43.08
929,53.59,67.16,2.0,42.93
932,53.84,67.41,2.0,43.03
929,53.59,67.16,2.0,42.86
934,53.59,67.16,2.0,43.3
934,53.84,67.16,2.0,43.35
937,53.59,67.0,2.1,43.36
932,53.27,67.0,2.0,43.17
929,53.84,67.57,1.9,43.23
927,53.43,67.41,1.7,42.98
937,53.59,67.9,1.6,43.24
949,53.59,67.57,1.7,43.88
944,53.59,67.57,1.7,43.93
944,52.46,67.16,1.7,44.19
951,52.21,67.16,1.6,44.04
949,51.08,66.84,1.6,43.82
915,50.43,67.0,1.7,42.63
782,50.26,67.0,1.8,43.06
898,50.67,67.41,1.8,39.17
920,51.08,67.41,1.8,37.94
910,51.65,67.9,1.6,42.18
910,52.05,67.57,1.5,43.08
944,51.81,67.57,1.5,43.53
929,52.46,67.57,1.5,43.46
912,52.62,67.57,1.6,42.88
910,52.86,67.41,1.6,41.95
900,52.86,67.57,1.7,41.22
898,53.43,67.57,1.7,40.24
898,54.0,67.57,1.8,42.29
915,54.65,68.06,1.8,42.92
915,54.81,68.06,1.8,42.92
898,55.63,68.3,1.7,42.04
877,55.22,68.46,1.6,41.15
879,55.22,68.71,1.5,40.92
784,56.11,68.71,1.2,39.58
872,55.79,68.3,1.2,40.05
910,54.81,67.41,1.3,42.64
902,54.0,66.84,1.4,42.41
900,53.84,67.0,1.5,40.34
816,53.59,66.43,1.5,39.07
865,53.43,66.19,1.6,40.48
867,53.84,66.19,1.8,40.85
870,53.84,66.84,1.9,40.76
843,53.84,67.0,1.9,39.44
855,53.59,66.84,1.9,38.97
833,54.0,67.0,1.9,39.55
855,54.41,67.0,1.8,40.29
792,54.25,66.43,1.8,39.45
821,53.43,65.78,1.8,38.91
836,53.03,65.21,1.7,39.55
826,52.05,64.65,1.7,39.52
831,51.65,65.05,1.7,39.08
831,51.08,64.24,1.7,39.31
826,51.24,64.65,1.7,39.05
816,50.43,64.24,1.8,38.54
801,50.67,64.0,1.7,38.18
796,50.67,64.24,1.7,37.58
789,50.67,64.4,1.6,37.13
784,51.08,64.24,1.7,37.58
787,51.08,64.4,1.6,37.59
784,51.48,64.65,1.5,37.49
787,51.65,64.65,1.5,37.48
779,51.08,64.0,1.5,37.22
774,50.26,63.83,1.5,36.81
777,49.29,62.86,1.6,36.8
770,48.88,63.02,1.6,36.83
774,48.88,63.43,1.7,36.78
765,48.88,63.43,1.7,36.35
755,49.7,63.83,1.6,35.71
755,50.43,64.0,1.6,36.01
755,50.43,63.83,1.6,36.1
753,50.67,63.67,1.6,36.18
753,49.45,62.61,1.6,36.22
760,49.45,62.05,1.6,36.32
744,48.64,61.64,1.7,36.01
744,48.31,61.07,1.6,35.47
737,47.5,60.42,1.8,35.25
737,47.66,60.26,2.1,35.77
739,48.07,60.66,2.2,35.73
732,48.48,61.07,2.3,35.71
739,47.91,60.66,2.3,35.76
739,47.91,60.26,2.3,35.79
734,47.66,60.26,2.3,35.68
730,47.5,59.69,2.4,35.46
725,47.26,59.69,2.5,35.33
727,47.66,60.09,2.3,35.2
717,47.91,60.09,2.2,35.16
715,48.31,60.42,2.2,34.77
712,48.31,60.26,2.1,34.77
712,47.91,59.69,2.2,34.62
700,47.66,59.44,2.1,34.3
703,47.26,59.28,2.1,34.34
700,47.26,58.71,2.1,34.49
700,46.85,58.71,2.1,34.29
698,47.09,58.88,2.1,33.91
693,47.09,58.88,2.1,33.98
693,47.09,59.04,2.0,33.98
688,47.91,59.44,2.1,33.76
681,47.66,59.04,2.0,33.65
678,47.91,59.04,1.9,33.52
678,48.31,59.44,2.0,33.39
678,48.48,59.28,2.1,33.2
673,47.66,58.71,2.0,33.19
669,47.66,58.88,2.0,33.08
661,47.26,58.47,2.1,32.62
666,46.85,57.9,2.2,32.78
666,46.85,57.9,2.3,32.99
666,47.09,58.06,2.4,33.02
661,47.09,58.06,2.4,32.74
656,47.26,57.9,2.4,32.36
651,47.5,58.06,2.3,32.2
651,47.5,58.06,2.2,32.2
647,47.5,57.9,2.2,31.85
642,47.5,57.5,2.2,31.77
642,47.26,57.5,2.1,31.68
639,47.09,57.25,2.1,31.66
637,46.53,56.68,2.2,31.6
637,46.28,56.28,2.3,31.47
632,46.12,56.11,2.4,31.39
629,45.88,55.63,2.4,31.28
625,45.47,55.22,2.5,31.16
620,45.06,55.06,2.6,30.75
622,44.74,54.81,2.6,30.37
612,44.74,54.81,2.7,30.23
604,44.74,55.22,2.8,29.96
604,44.9,55.38,2.5,30.07
607,45.31,55.38,2.4,30.21
604,44.9,54.65,2.4,29.88
604,44.5,54.41,2.4,29.89
594,44.25,54.0,2.5,29.76
592,44.01,54.25,2.5,28.99
585,44.25,54.25,2.4,28.87
577,44.25,54.25,2.3,28.77
577,44.25,54.41,2.1,28.23
567,44.5,54.41,2.2,28.25
572,44.5,54.41,2.3,28.31
567,44.74,54.41,2.2,28.07
565,45.06,54.41,2.0,27.91
563,44.9,54.25,2.0,27.77
555,44.74,53.59,2.0,27.6
555,44.25,53.43,2.0,27.45
553,45.31,54.25,1.8,27.25
545,45.71,54.41,1.8,27.09
545,45.88,54.65,1.8,26.99
543,46.53,54.65,1.8,26.87
538,46.53,54.65,1.8,26.49
528,46.69,54.65,1.8,26.17
531,46.69,54.25,1.9,26.3
528,46.85,54.25,1.9,26.19
528,46.28,54.0,1.9,25.99
